camis,dba,boro,cuisine_description,building,street,zipcode,grade
41604543,THE NEW PORTALES TAQUERIA,Queens,Mexican,25-08A,BROADWAY,11106.0,A
41289258,PATRON MEXICAN GRILL,Manhattan,Mexican,608,9 AVENUE,10036.0,A
41491217,RIVIERA RISTORANTE,Queens,Italian,17-12,UTOPIA PARKWAY,11357.0,B
50070312,LOUIE & ERNIE'S,Bronx,Pizza,1300,CROSBY AVENUE,10461.0,A
50082366,DUNKIN,Manhattan,Donuts,850,8 AVENUE,10019.0,A
41722059,DELTA SKY CLUB,Queens,American,4,JKF INTL AIRPORT,,A
50156636,LULU & DINO CAFE AND BAKERY,Queens,Bakery Products/Desserts,219-02,NORTHERN BOULEVARD,11361.0,B
41528104,PALERMO PASTRY SHOP,Brooklyn,Bakery Products/Desserts,5517,AVENUE N,11234.0,B
50117975,MCDONALD'S,Brooklyn,Hamburgers,139,FLATBUSH AVENUE,11217.0,A
50146247,GOOGLE NYC SJT FL6 NEIGHCAFE,Manhattan,Soups/Salads/Sandwiches,550,WASHINGTON STREET,10014.0,A
50088840,FUKU,Manhattan,Chicken,20,HUDSON YARDS,10001.0,A
50157137,SUSHI WATAMI,Manhattan,Japanese,40,WEST   37 STREET,10018.0,A
50170248,CHOCO WONKA,Queens,French,12-27A,150 STREET,11357.0,A
50145841,SINGAS PIZZA,Brooklyn,American,409,KNICKERBOCKER AVENUE,11237.0,A
50106934,MAMA'S CUPBOARD,Manhattan,Southeast Asian,235,EAST   53 STREET,10022.0,A
50171563,KENNEDY CHICKEN & BURGER,Bronx,Chicken,3955,BRONXWOOD AVENUE,10466.0,A
41681629,HEAVY WOODS,Brooklyn,American,50,WYCKOFF AVENUE,11237.0,A
50089168,DUNKIN,Manhattan,American,75,CHRISTOPHER STREET,10014.0,A
50070575,THE LOBSTER CLUB,Manhattan,Japanese,99,EAST   52 STREET,10022.0,A
50176961,JUST SALAD,Manhattan,Salads,485,LEXINGTON AVENUE,10017.0,A
41574441,PRINCESS PIZZERIA,Brooklyn,Pizza,535,5 AVENUE,11215.0,A
50097772,MAXI'S NOODLE,Queens,Chinese,135-11,38 AVENUE,11354.0,A
41541674,IHOP,Brooklyn,Pancakes/Waffles,11000,FLATLANDS AVENUE,11207.0,A
41470237,RUINAS DE COPAN,Bronx,Spanish,483,BROOK AVENUE,10455.0,A
50008164,EL BARRIO BURRITOS,Brooklyn,Mexican,796A,FRANKLIN AVENUE,11238.0,A
50041683,MAXIM CHINESE RESTAURANT,Queens,Chinese,68-12,ROOSEVELT AVENUE,11377.0,A
41300940,COOKIE JAR,Staten Island,Bakery Products/Desserts,1226,FOREST AVENUE,10310.0,A
50080344,MONA'S CUISINE,Staten Island,Caribbean,360,TARGEE STREET,10304.0,A
40402266,UNFORGETTABLE LOUNGE,Queens,Bottled Beverages,112-22,SUTPHIN BOULEVARD,11435.0,B
50001398,GRACE STREET,Manhattan,Coffee/Tea,17,WEST   32 STREET,10001.0,A
41488065,BOCA CHICA QUEENS,Queens,Latin American,96-20,37 AVENUE,11368.0,A
50032742,KING TAI,Brooklyn,American,1095,BERGEN STREET,11216.0,A
41420128,BROOKLYN BOWL,Brooklyn,American,61,WYTHE AVENUE,11249.0,A
50019201,CHARLEY'S PHILLY STEAKS,Queens,Sandwiches/Salads/Mixed Buffet,90-15,QUEENS BOULEVARD,11373.0,A
50095499,DUNKIN,Brooklyn,Donuts,617,BRIGHTON BEACH AVENUE,11235.0,A
40665359,VIC'S,Manhattan,Italian,31,GREAT JONES STREET,10012.0,A
41570383,KUNG FU TEA,Queens,Coffee/Tea,38-10,138 STREET,11354.0,A
50158234,NOONA'S ICE CREAM,Manhattan,Frozen Desserts,304,EAST    5 STREET,10003.0,A
50127870,UMI,Queens,Seafood,220-18,HILLSIDE AVENUE,11427.0,A
41652034,RUBY'S,Brooklyn,American,1213,BOARDWALK,11224.0,A
50055338,J C GREEN LIFE NYC,Bronx,American,1343,OGDEN AVENUE,10452.0,A
50127174,DRIP,Manhattan,Coffee/Tea,75,VARICK STREET,10013.0,A
41376524,KAFFE ARE,Manhattan,Coffee/Tea,275,GREENWICH STREET,10007.0,A
50040002,ST. PATRICK'S BAR AND GRILL,Manhattan,American,22,WEST   46 STREET,10036.0,A
50164537,TERI'S TERIYAKI,Queens,Japanese,31-47,STEINWAY STREET,11103.0,B
41062347,POSTMARK CAFE,Brooklyn,Coffee/Tea,326,6 STREET,11215.0,A
50110878,EL RINCONCITO PAISA RESTAURANT & BAKERY,Queens,Latin American,89-07,139 STREET,11435.0,A
50040819,SUBWAY,Staten Island,Sandwiches,9,FERRY TERMINAL DRIVE,10301.0,A
50141143,BAR MILLER,Manhattan,Japanese,620,EAST    6 STREET,10009.0,A
41151907,THE BACK ROOM,Manhattan,American,102,NORFOLK STREET,10002.0,B
41235545,FAVELA,Queens,Brazilian,33-18,28 AVENUE,11103.0,A
50100556,GRAB AND GO,Manhattan,Jewish/Kosher,20,WEST   47 STREET,10036.0,A
50117835,THE PANTRY ON 10,Manhattan,American,665,WEST  130 STREET,10027.0,A
50146063,JAMAICAN FLAVORS,Brooklyn,Caribbean,483,NOSTRAND AVENUE,11216.0,A
41227319,JULIETTE,Brooklyn,French,135,NORTH    5 STREET,11249.0,A
50135178,MEADOWS CAFE,Queens,Coffee/Tea,195-09,69 AVENUE,11365.0,A
50107075,ANGELINA,Manhattan,Coffee/Tea,1050,6 AVENUE,10018.0,A
40716299,CHUCK E. CHEESE,Staten Island,Pizza,1775,SOUTH AVENUE,10314.0,A
41675471,El Crucero Restaurant & Grill,Bronx,Spanish,339,EAST  138 STREET,10454.0,A
50148682,SUPER ACTION BURGER,Brooklyn,Hamburgers,292,GRAHAM AVENUE,11211.0,A
50070923,PAPA JOHN'S PIZZA,Bronx,Pizza,1979,JEROME AVENUE,10453.0,A
50163625,TOZZARELLA,Queens,Coffee/Tea,20-15,COLLEGE POINT BOULEVARD,11356.0,A
